"Date","League","Team","Opp.","Venue","Phase","Coach","Opp. coach","OT/SO","PTS","Leading%","Tied%","Trailing%","TOI","GF","GA","G±","EQ TOI","EQ GF","EQ GA","EQ G±","PP OP","PP%","PP TOI","PP GF","PP GA","PP G±","SH SI","PK%","SH TOI","SH GF","SH GA","SH G±","SH%","SV%","PDO","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","SMF","SPF","SBF","SMA","SPA","SBA","FOW","FOL","FO%","# 0'","# 2'","# 5'","# 10'","# 20'","PIM","Spectators"
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000405' target='_blank'>2023-03-26</a>,National League,HCL,GSHC,home,Playoffs,Luca Gianinazzi,Jan Cadieux,,0,0,6.28,93.72,60,2,5,-3,53.4,1,5,-4,2,50,2.6,1,0,1,2,100,4,0,0,0,6.06,86.36,92.42,61,48,55.96,41,37,52.56,33,24,57.89,8,0,20,13,0,11,30,28,51.72,0,2,0,0,0,4,6420
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000401' target='_blank'>2023-03-24</a>,National League,HCL,GSHC,away,Playoffs,Luca Gianinazzi,Jan Cadieux,,0,0,13,87,60,1,5,-4,48.6,0,4,-4,2,50,2.3,1,1,0,4,100,9.1,0,0,0,5,86.84,91.84,51,67,43.22,33,56,37.08,20,38,34.48,12,1,18,18,0,11,22,32,40.74,0,5,1,0,0,15,7135
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000397' target='_blank'>2023-03-21</a>,National League,HCL,GSHC,home,Playoffs,Luca Gianinazzi,Jan Cadieux,OT,2,0,84.9,15.1,61.1,2,1,1,49.1,2,1,1,3,0,4,0,0,0,6,100,8,0,0,0,5.71,97.37,103.08,50,73,40.65,40,53,43.01,35,38,47.95,5,0,10,15,0,20,24,34,41.38,0,7,0,0,0,14,5609
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000393' target='_blank'>2023-03-18</a>,National League,HCL,GSHC,away,Playoffs,Luca Gianinazzi,Jan Cadieux,OT,1,20.23,78.78,0.99,114.1,2,3,-1,102.8,2,1,1,2,0,2.4,0,0,0,7,71.43,8.8,0,2,-2,7.41,95.24,102.65,65,132,32.99,41,93,30.6,27,63,30,12,2,24,28,2,39,47,45,51.09,0,10,0,0,1,40,7135
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000389' target='_blank'>2023-03-16</a>,National League,HCL,GSHC,home,Playoffs,Luca Gianinazzi,Jan Cadieux,,3,47.97,52.03,0,60,2,0,2,48,2,0,2,4,0,8,0,0,0,2,100,4,0,0,0,8,100,108,52,60,46.43,38,41,48.1,25,33,43.1,13,0,14,8,0,19,20,31,39.22,0,3,0,0,0,6,5242
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000385' target='_blank'>2023-03-14</a>,National League,HCL,GSHC,away,Playoffs,Luca Gianinazzi,Jan Cadieux,,0,2.89,46.56,50.56,60,3,6,-3,47.4,2,3,-1,5,20,4.6,1,1,0,7,71.43,8,0,2,-2,13.04,86.49,99.53,45,80,36,32,56,36.36,23,38,37.7,9,0,13,14,4,24,29,36,44.62,0,9,0,0,0,18,6102
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000367' target='_blank'>2023-03-09</a>,National League,HCL,HCFG,home,Playoffs,Luca Gianinazzi,Christian Dubé,,3,42.17,57.83,0,60,2,0,2,56.7,1,0,1,1,100,1.3,1,0,1,1,100,2,0,0,0,3.33,100,103.33,50,60,45.45,39,35,52.7,31,25,55.36,7,1,11,10,0,25,24,27,47.06,0,2,0,0,0,4,6110
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000365' target='_blank'>2023-03-07</a>,National League,HCL,HCFG,away,Playoffs,Luca Gianinazzi,Christian Dubé,,3,42,58,0,60,2,1,1,40.3,2,0,2,3,0,9,0,0,0,6,83.33,10.7,0,1,-1,10,96.77,106.77,41,69,37.27,31,51,37.8,20,31,39.22,11,0,10,19,1,18,21,24,46.67,0,7,0,0,0,14,8947
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000364' target='_blank'>2023-03-04</a>,National League,HCL,EHCB,home,Regular Season,Luca Gianinazzi,Antti Törmänen,SO,1,72.31,23.51,4.18,65,5,6,-1,53.3,4,4,0,4,25,7.8,1,0,1,2,50,4,0,1,-1,15.62,86.49,102.11,44,69,38.94,35,47,42.68,32,37,46.38,3,0,9,9,1,22,33,31,51.56,0,2,0,0,0,4,5781
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000352' target='_blank'>2023-03-02</a>,National League,HCL,HCAP,away,Regular Season,Luca Gianinazzi,Luca Cereda,,3,65.64,34.36,0,60,4,2,2,51.6,4,1,3,3,0,4.3,0,1,-1,2,100,4,0,0,0,6.98,94.87,101.85,75,65,53.57,63,53,54.31,44,39,53.01,19,0,12,14,0,12,37,25,59.68,0,4,0,0,0,8,6775
