"Date","League","Team","Opp.","Venue","Phase","Coach","Opp. coach","OT/SO","PTS","Leading%","Tied%","Trailing%","TOI","GF","GA","G±","EQ TOI","EQ GF","EQ GA","EQ G±","PP OP","PP%","PP TOI","PP GF","PP GA","PP G±","SH SI","PK%","SH TOI","SH GF","SH GA","SH G±","SH%","SV%","PDO","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","SMF","SPF","SBF","SMA","SPA","SBA","FOW","FOL","FO%","# 0'","# 2'","# 5'","# 10'","# 20'","PIM","Spectators"
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000420' target='_blank'>2023-04-05</a>,National League,ZSC,EHCB,home,Playoffs,Marc Crawford,Antti Törmänen,,0,51.94,34.08,13.97,60,3,5,-2,49.6,1,2,-1,3,66.67,4.5,2,0,2,4,25,5.9,0,3,-3,8.11,84.62,92.72,58,45,56.31,46,34,57.5,37,27,57.81,9,0,12,7,0,11,25,28,47.17,0,5,0,0,0,10,12000
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000418' target='_blank'>2023-04-03</a>,National League,ZSC,EHCB,away,Playoffs,Marc Crawford,Antti Törmänen,,0,0,34.03,65.97,60,3,5,-2,56.1,3,3,0,0,,0,0,0,0,3,33.33,3.9,0,2,-2,10.71,76.19,86.9,58,44,56.86,41,32,56.16,28,21,57.14,13,0,17,10,1,12,38,19,66.67,0,3,0,0,0,6,6562
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000416' target='_blank'>2023-04-01</a>,National League,ZSC,EHCB,home,Playoffs,Marc Crawford,Antti Törmänen,,0,0,4.86,95.14,60,0,4,-4,47.7,0,3,-3,4,0,8,0,0,0,3,66.67,4.3,0,1,-1,0,81.25,81.25,64,35,64.65,44,29,60.27,28,17,62.22,15,1,20,9,3,6,32,27,54.24,0,3,0,1,0,16,12000
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000414' target='_blank'>2023-03-30</a>,National League,ZSC,EHCB,away,Playoffs,Marc Crawford,Antti Törmänen,,0,0,96.78,3.22,60,0,1,-1,45,0,1,-1,3,0,9,0,0,0,3,100,6,0,0,0,0,96.3,96.3,53,48,52.48,40,37,51.95,27,27,50,13,0,13,10,0,11,18,22,45,0,3,0,0,0,6,6562
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000404' target='_blank'>2023-03-24</a>,National League,ZSC,HCD,home,Playoffs,Marc Crawford,Waltteri Immonen,,3,20.44,79.56,0,60,1,0,1,41.3,1,0,1,5,0,11.9,0,0,0,4,100,6.9,0,0,0,4,100,104,47,61,43.52,38,39,49.35,25,27,48.08,13,0,9,12,0,22,27,25,51.92,0,4,0,0,0,8,12000
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000400' target='_blank'>2023-03-22</a>,National League,ZSC,HCD,away,Playoffs,Marc Crawford,Waltteri Immonen,OT,2,48.39,51.61,0,84.2,3,2,1,71.2,3,1,2,3,0,6,0,0,0,5,80,7,0,1,-1,6.82,96.23,103.04,76,101,42.94,52,65,44.44,44,53,45.36,8,0,24,9,3,36,46,51,47.42,0,5,0,0,0,10,5174
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000396' target='_blank'>2023-03-19</a>,National League,ZSC,HCD,home,Playoffs,Marc Crawford,Waltteri Immonen,,3,42.39,40.33,17.28,60,3,2,1,43.4,2,1,1,8,12.5,11.6,1,0,1,4,75,5,0,1,-1,9.68,92.59,102.27,67,58,53.6,51,42,54.84,31,27,53.45,19,1,16,14,1,16,29,30,49.15,0,7,0,0,0,14,12000
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000392' target='_blank'>2023-03-17</a>,National League,ZSC,HCD,away,Playoffs,Marc Crawford,Waltteri Immonen,,0,9.86,53.78,36.36,60,1,2,-1,51.9,1,0,1,1,0,2,0,0,0,4,50,6.2,0,2,-2,3.85,94.44,98.29,48,81,37.21,35,62,36.08,26,36,41.94,9,0,13,26,0,19,42,26,61.76,0,5,0,0,0,10,6547
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000388' target='_blank'>2023-03-15</a>,National League,ZSC,HCD,home,Playoffs,Marc Crawford,Waltteri Immonen,,3,71,29,0,60,4,1,3,44.1,2,1,1,6,33.33,11.9,2,0,2,2,100,4,0,0,0,15.38,96.15,111.54,65,58,52.85,50,44,53.19,26,26,50,24,0,15,18,0,14,24,32,42.86,0,3,0,0,0,6,12000
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000358' target='_blank'>2023-03-04</a>,National League,ZSC,SCB,away,Regular Season,Marc Crawford,Toni Söderholm,,0,0,9.19,90.81,60,1,4,-3,55.6,0,3,-3,2,50,3.8,1,0,1,1,0,0.5,0,1,-1,3.7,86.21,89.91,58,59,49.57,34,44,43.59,27,29,48.21,6,1,24,14,1,15,22,27,44.9,0,1,0,0,0,2,16427
